X	Y	FID	ID	Location_o	Area_	Managed_By	Playground	AGE_GROUP	List_of_Eq	Liosta_Tre	List_of_00	PUBLIC_TOI	OPENING_HO	PARKING	PHOTO
-1104192	7056858	1	1	Roundstone (Cloch na Ron)	West Galway - Conamara	Roundstone Playground Committee	"Roundstone Village, Connemara"	0 to 16 Years	"Climber and Slide, Climber with Rope, Flat Swings, Cradle Swings, Crazy Goose, Springer, Spring SeeSaw, Platform & Slide"	"Dreapadóir le Sleamhnán, Luascán Cothrom,  Luascán Cliabháin , Lingeadan, Maide Corrach, srl."	Toddler swings	NO	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/1.jpg
-1124629	7085963	2	2	An Cloigeann	West Galway - Conamara	Cleggan/Claddaghduff Community Council	Cleggan	All	"Spring Rocker, 4 Seat Springer, Slide, Spinning Bowl and Basket Swing"	"Luascaire Sprionga,  Lingeadan, Sleamhnán, Babhla Rothlaithe,  Ciseán Luascadh, srl."	Yes	Available when Community  Centre is in use	 	YES	http://www.galway.ie/gis/playgrounds/2.jpg
-1081733	7069156	3	3	Sraith Salach	West Galway - Conamara	Little Gems Playgroup	Sraith Salach	2 to 10 years	"Double Seesaw, Supernova, Slide Elements, Elephant Springer"	"Maide Corrach, Supernova,  Sleamhnán agus Aonad Timpeallán, Lingeadan"	Slide and Roundabout	Yes - 9.30 a.m. To 12.30pm	 	YES	http://www.galway.ie/gis/playgrounds/3.jpg
-1062115	7068153	4	4	Maam (An Teach Dóite)	West Galway - Conamara	Coiste Forbartha an Mhama	 	1 to 12 years	"Climber, Three Way Springer, Rocker, Basket Swing, Embankment Slide and Spring Rocker"	"Dreapadóir, Lingeadan, Ciseán Luascadh, Sleamhnán, Luascaire, srl."	None specified.	 	Daylight Hours	 	http://www.galway.ie/gis/playgrounds/4.jpg
-1093053	7060998	5	5	An Caiseal	West Galway - Conamara	Comhairle Muintir an Chaiseal Teoranta	"The Fair Green, Cashel"	2-17 Years	"Spring Bowl, Spring Bike, Climber and Slide, Basket Swing and Multi Use Games Goal"	"Babhla Sprionga, Rothar Sprionga, Dreapadóir agus Sleamhnán, Ciseán Luascadh, Aonad Ilspraoi Cúl Spring"	None specified.	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/5.jpg
-1064002	7048304	6	7	Camas	West Galway - Conamara	Cumann Forbartha Na Foirneise Teoranta Camus	Camus	1-12 Years	"Cradle Swings, Octopus Spring Seesaw, Rotating Pylon Carousel, Basket Swing, Tunnel, Mound Slide and Cable Runway"	"Luascán Cliabháin, Maide Corrach, Ciseán Luascadh, Tollán, Sleamhnán, Rúidchosán Cábla, srl."	Basket Swing	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/7.jpg
-915231	7043893	7	8	Ballinasloe (St. Michaels Place) Béal Átha na Sluaighe (Plás Naomh Mícheál)	East Galway-Ballinasloe	Ballinasloe Town Council	"St. Michaels Place, Ballinasloe"	1-12 Years	"Roundabout, Rocker, Swing, Swing with Cradle  Seat, See Saw and Slide"	"Timpeallán, Luascaire, Luascáin, Maide Corrach , Sleamhnán"	None  Specified	No	Daylight Hours	NO	http://www.galway.ie/gis/playgrounds/8.jpg
-947501	7037268	8	9	New Inn (An Cnoc Breac)	East Galway-Ballinasloe	New Inn Playground Development Group	Ballinasloe	0 to 13 years	"Cable Runway, Cantilever Swing, Multiplay, With Slide Overhead Bars Nets and Climbing Wall, Swings, Spring Elephant, Giraffe Roundabout,  Hammock, Pair of Climbing Poles, Flat Swing, Rotating Rope Climber, Basket Swing, Multiplay and Slide"	"Rúidchosán Cábla, Luascáin, Aonad Ilspraoi le Sleamhnán, Eangacha, Timpeallán, Leaba Luascáin, Luascán Cothrom, Ciseán Luascadh, Aonad Ilspraoi le Sleamhnán, srl."	Basket Nest Swing &  hammock	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/9.jpg
-986550	7080064	9	10	"Ballygaddy Road Belair Drive, Tuam (Bóthart Bhaile Gadaí, Céide Belair, Tuaim"	North Galway - Tuam	Galway County Council	"Ballygaddy Road Belair Drive, Tuam"	04 to 12 Years	Swing – Junior – 1 Bay – 2 Seat	Luascáin	None Specified	NO	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/10.jpg
-986550	7080064	10	10	Tuam (Ballygaddy Road/Bel Air Drive) Tuaim (Bothar Bhaile Gadaí/Céide Belair	North Galway - Tuam	Galway County Council	"Ballygaddy Road Belair Drive, Tuam"	4-12 Years	Swing – Junior – 1 Bay – 2 Seat	Luascáin	None Specified	No	Daylight Hours	NO	http://www.galway.ie/gis/playgrounds/10.jpg
-952729	7096223	11	11	Glenamaddy (Gleann na Madadh)	North Galway - Tuam	Glenamaddy Community Development Company Ltd.	Collins Park	0-12 Years	"Cradle Swing, Basket Swing, Hexagonal Swing, Flat Swings, Spinning Bowl, Junior Slide, 2 Springers, Spring Seasaw, Space Net, Cable Runaway and Basketball"	"Luascán Cliabháin, Ciseán Luascadh, Rothlóir Babhla, Maide Corrach, Rúidchosán Cábla, Cispheil, srl."	"Junior Swing set with Cradle seats, Junior Swing, with basket seat, Senior Swing with basket seat, Rotating Ball"	 	 	YES	http://www.galway.ie/gis/playgrounds/11.jpg
-953266	7074134	12	12	Moylough (Maigh Locha)	North Galway - Tuam	Moylough Playground Committee	Ballinasloe	0 to 12 years	"Cable Runway, Basket Swing, Cradle Swings,  Toddlers Multiplay and Slide"	"Rúidchosán Cábla, Ciseán Luascadh, Luascáin, Aonad Ilspraoi Lapadáin le Sleamhnán"	Basket Nest Swing &  Cradle Swing	Yes	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/12.jpg
-946083	7070276	13	13	Mountbellew (An Creagán)	North Galway - Tuam	Mountbellew Community Playground	"GAA Pitch, Tuam Road"	0 to 12 years	"Cableway, Mobilus, Junior Multiplay Unit, Seesaw, Embankment Tube Slide, Cradle Swings, Flat Seat Swings, Basket Swing, Jeep Spring Unit, Spring Seesaw, Toddler Multiplay Unit, Pedal Roundabout,  4 Seat Springer and Car Springer"	"Rúidchosán Cábla, Mobilus, Aonad Ilspraoi Sóisearach, Maide Corrach, Sleamhnán, Luascáin, Luascán Cothrom, Ciseán Luascadh, Aonad Ilspraoi Lapadáin, Timpeallán, srl."	Swinging Basket & Play Jeep	No	09.00 to 8.30 (Summer) 09.00 to 5.00 (Winter)	YES	http://www.galway.ie/gis/playgrounds/13.jpg
-941684	7112549	14	14	Ballymoe (Béal Átha Mo)	North Galway - Tuam	Ballymoe Development Centre Ltd.	Ballymoe	01 to 12 Years	"Rockers, Springer, Climber with Slide, Roundabout, Galaxy Unit, Cable Runway, Flat Swing, Basket Swing and Junior Swings"	"Luascaire, Lingeadan, Dreapadóir le Sleamhán, Timpeallán, Aonad Galaxy, Rúidchosán Cábla, Luascán Cothrom, Ciseán Luascadh agus Luascáin (Sóisearach)"	 	 	 	 	http://www.galway.ie/gis/playgrounds/14.jpg
-955090	7109473	15	15	Williamstown (Baile Liam)	North Galway - Tuam	Williamstown Childrens Playground Committee	Williamstown	0 to 13 years	"Spinning Bowl, Small Roundabout, Cantilever Swing, Cable Runway, Rotating Net Climber"	"Babhla Rothalithe, Timpeallán beag, Luascáin, Rúidchosán Cábla"	Extra Capacity Spinner Bowl	 	09.00 a.m. To 5.00 p.m. (Winter) 09.00 a.m. To 9.00 p.m. (Summer)	YES	http://www.galway.ie/gis/playgrounds/15.jpg
